Date,Price,Open,High,Low,Change
"Apr 20, 2020",3.85,3.92,3.92,3.85,-1.28%
"Apr 17, 2020",3.9,4.11,4.11,3.9,-3.94%
"Apr 16, 2020",4.06,4.14,4.14,4.05,-0.49%
"Apr 15, 2020",4.08,4.2,4.2,4.08,-2.63%
"Apr 13, 2020",4.19,4.25,4.27,4.19,-1.41%
"Apr 09, 2020",4.25,4.3,4.3,4.23,3.66%
"Apr 08, 2020",4.1,4.16,4.16,4.1,0.00%
"Apr 07, 2020",4.1,4.16,4.16,4.1,-4.43%
"Apr 03, 2020",4.29,4.29,4.3,4.25,0.94%
"Mar 31, 2020",4.25,4.39,4.4,4.25,-1.16%
"Mar 30, 2020",4.3,4.3,4.35,4.28,0.94%
"Mar 27, 2020",4.26,5.07,5.09,4.26,-15.48%
"Mar 26, 2020",5.04,5.15,5.15,5.04,-0.20%
"Mar 24, 2020",5.05,4.75,5.05,4.72,6.99%
"Mar 23, 2020",4.72,4.74,4.75,4.72,-1.46%
"Mar 20, 2020",4.79,4.83,4.88,4.79,-1.84%
"Mar 19, 2020",4.88,4.85,4.88,4.85,0.00%
"Mar 18, 2020",4.88,4.87,4.9,4.85,1.67%
"Mar 17, 2020",4.8,4.78,4.83,4.78,1.48%
"Mar 16, 2020",4.73,4.85,4.9,4.73,-3.07%
"Mar 13, 2020",4.88,4.85,4.88,4.84,0.00%
"Mar 12, 2020",4.88,4.87,4.88,4.85,0.62%
"Mar 11, 2020",4.85,4.82,4.88,4.82,-1.02%
"Mar 09, 2020",4.9,4.87,4.92,4.87,-1.21%
"Mar 06, 2020",4.96,4.83,4.96,4.82,0.81%
"Mar 05, 2020",4.92,4.97,4.97,4.92,-1.99%
"Mar 04, 2020",5.02,5.05,5.05,5.02,-1.95%
"Mar 03, 2020",5.12,5.07,5.12,5.07,0.79%
"Mar 02, 2020",5.08,5.08,5.1,5.07,0.00%
"Feb 28, 2020",5.08,5.08,5.08,5.05,0.00%
"Feb 27, 2020",5.08,5.1,5.1,5.07,-0.20%
"Feb 26, 2020",5.09,5.06,5.1,5.03,0.39%
"Feb 25, 2020",5.07,5.06,5.08,5.05,0.20%
"Feb 24, 2020",5.06,5.05,5.1,5.03,-0.20%
"Feb 20, 2020",5.07,5.07,5.08,5.06,-0.20%
"Feb 18, 2020",5.08,5.11,5.11,5.07,-0.78%
"Feb 17, 2020",5.12,5.13,5.13,5.09,0.20%
"Feb 14, 2020",5.11,5.11,5.13,5.08,0.00%
"Feb 13, 2020",5.11,5.12,5.13,5.1,-0.20%
"Feb 12, 2020",5.12,5.11,5.13,5.11,0.59%
"Feb 11, 2020",5.09,5.09,5.09,5.07,-0.20%
"Feb 10, 2020",5.1,5.12,5.15,5.1,-0.20%
"Feb 07, 2020",5.11,5.13,5.15,5.1,-0.78%
"Feb 06, 2020",5.15,5.14,5.19,5.13,0.39%
"Feb 05, 2020",5.13,5.13,5.13,5.11,0.20%
"Feb 04, 2020",5.12,5.13,5.13,5.11,0.20%
"Feb 03, 2020",5.11,5.1,5.14,5.1,-0.39%
"Jan 31, 2020",5.13,5.13,5.15,5.13,0.20%
"Jan 30, 2020",5.12,5.11,5.15,5.11,0.39%
"Jan 29, 2020",5.1,5.11,5.11,5.09,-0.20%
"Jan 28, 2020",5.11,5.11,5.11,5.09,0.20%
"Jan 27, 2020",5.1,5.11,5.13,5.09,-0.39%
"Jan 24, 2020",5.12,5.12,5.12,5.09,0.00%
"Jan 23, 2020",5.12,5.14,5.14,5.1,0.20%
"Jan 22, 2020",5.11,5.07,5.13,5.07,0.20%
"Jan 21, 2020",5.1,5.09,5.11,5.09,-0.20%
"Jan 20, 2020",5.11,5.11,5.12,5.1,0.20%
"Jan 17, 2020",5.1,5.12,5.13,5.1,-0.39%
"Jan 16, 2020",5.12,5.15,5.15,5.11,0.39%
"Jan 15, 2020",5.1,5.1,5.12,5.1,0.59%
"Jan 14, 2020",5.07,5.07,5.08,5.06,0.40%
"Jan 13, 2020",5.05,5.04,5.07,5.04,0.00%
"Jan 10, 2020",5.05,5.05,5.07,5.02,0.00%
"Jan 09, 2020",5.05,5.02,5.06,5.01,0.60%
"Jan 08, 2020",5.02,5.02,5.04,5.02,0.20%
"Jan 07, 2020",5.01,5,5.04,4.99,0.60%
"Jan 06, 2020",4.98,4.98,5.02,4.97,-0.20%
"Jan 03, 2020",4.99,4.97,5.03,4.97,0.40%
"Jan 02, 2020",4.97,4.97,4.97,4.95,-1.39%
"Jan 01, 2020",5.04,5.06,5.08,5.03,-0.20%
"Dec 31, 2019",5.05,5.02,5.05,5.02,0.60%
"Dec 30, 2019",5.02,5,5.05,5,0.00%
"Dec 27, 2019",5.02,5.03,5.05,5.01,0.00%
"Dec 26, 2019",5.02,5.02,5.04,5.02,0.00%
"Dec 24, 2019",5.02,5.03,5.03,5,-0.20%
"Dec 23, 2019",5.03,5.03,5.05,5.02,-0.20%
"Dec 20, 2019",5.04,5.03,5.04,5.02,0.40%
"Dec 19, 2019",5.02,5.02,5.04,5.02,-0.20%
"Dec 18, 2019",5.03,5.05,5.06,5,0.00%
"Dec 17, 2019",5.03,5.03,5.07,5,0.20%
"Dec 16, 2019",5.02,5.04,5.1,5.02,-0.40%
"Dec 13, 2019",5.04,5.1,5.1,5.03,-1.56%
"Dec 12, 2019",5.12,5.02,5.12,5.01,2.20%
"Dec 11, 2019",5.01,5.02,5.05,5,-0.60%
"Dec 10, 2019",5.04,5.06,5.08,5.04,-0.20%
"Dec 09, 2019",5.05,5.04,5.08,5.03,0.60%
"Dec 06, 2019",5.02,5.03,5.03,5,-0.79%
"Dec 05, 2019",5.06,4.92,5.07,4.9,2.85%
"Dec 04, 2019",4.92,4.92,4.93,4.91,0.00%
"Dec 03, 2019",4.92,4.92,4.92,4.87,0.00%
"Dec 02, 2019",4.92,4.92,4.95,4.9,0.20%
"Nov 29, 2019",4.91,5.01,5.01,4.91,-2.19%
"Nov 28, 2019",5.02,5.02,5.05,5,0.00%
"Nov 27, 2019",5.02,5.04,5.05,5.02,-0.20%
"Nov 26, 2019",5.03,5.04,5.05,5.02,-0.20%
"Nov 25, 2019",5.04,5.05,5.05,5.03,0.00%
"Nov 22, 2019",5.04,5.04,5.04,5.02,0.00%
"Nov 21, 2019",5.04,5.04,5.06,5.04,-0.40%
"Nov 20, 2019",5.06,5.06,5.07,5.05,0.00%
"Nov 19, 2019",5.06,5.07,5.08,5.05,-0.20%
"Nov 18, 2019",5.07,5.07,5.07,5.05,0.20%
"Nov 15, 2019",5.06,5.07,5.08,5.05,-0.20%
"Nov 14, 2019",5.07,5.06,5.08,5.05,-0.20%
"Nov 13, 2019",5.08,5.08,5.08,5.05,0.00%
"Nov 11, 2019",5.08,5.08,5.1,5.08,0.00%
"Nov 08, 2019",5.08,5.06,5.09,5.05,0.59%
"Nov 07, 2019",5.05,5.05,5.1,5.05,0.20%
"Nov 06, 2019",5.04,5.05,5.07,5.04,0.00%
"Nov 05, 2019",5.04,5.02,5.05,5,0.00%
"Nov 04, 2019",5.04,5.03,5.05,5.02,0.00%
"Nov 01, 2019",5.04,5.05,5.05,5.02,-0.20%
"Oct 31, 2019",5.05,5.05,5.05,5.03,-0.39%
"Oct 30, 2019",5.07,5.07,5.1,5.06,-0.39%
"Oct 29, 2019",5.09,5.07,5.09,5.07,-0.20%
"Oct 25, 2019",5.1,5.08,5.1,5.08,0.39%
"Oct 24, 2019",5.08,5.09,5.1,5.05,0.00%
"Oct 23, 2019",5.08,5.07,5.1,5.04,-0.20%
"Oct 22, 2019",5.09,5.07,5.09,5.07,0.20%
"Oct 18, 2019",5.08,5.08,5.11,5.06,0.00%
"Oct 17, 2019",5.08,5.1,5.11,5.07,0.00%
"Oct 16, 2019",5.08,5.1,5.15,5.07,-0.97%
"Oct 15, 2019",5.13,5.16,5.16,5.12,-0.58%
"Oct 14, 2019",5.16,5.21,5.21,5.15,-0.77%
"Oct 11, 2019",5.2,5.22,5.23,5.17,0.19%
"Oct 10, 2019",5.19,5.23,5.23,5.19,-0.76%
