C_i,P_i,C_i-P_i
22,24,2
12,13,1
1,1,0
1,2,1
2,2,0
6,7,1
5,5,0
18,20,2
3,3,0
9,9,0
15,16,1
26,28,2
31,31,0
0,1,1
40,42,2
2,3,1
0,1,1
0,1,1
11,13,2
6,7,1
8,9,1
14,16,2
1,2,1
36,36,0
4,5,1
26,31,5
31,31,0
22,25,3
1,2,1
18,20,2
1,2,1
2,3,1
0,1,1
10,11,1
7,9,2
43,42,-1
5,7,2
3,4,1
34,36,2
13,16,3
16,19,3
20,23,3
1,1,0
24,26,2
11,13,2
19,19,0
0,0,0
0,1,1
1,1,0
15,16,1
8,9,1
27,31,4
4,5,1
33,31,-2
23,25,2
6,7,1
42,42,0
35,39,4
2,3,1
1,2,1
2,2,0
12,13,1
0,0,0
0,0,0
1,1,0
16,16,0
9,9,0
20,20,0
1,2,1
43,42,-1
24,26,2
28,30,2
33,36,3
6,7,1
4,4,0
39,36,-3
17,16,-1
13,13,0
1,1,0
3,3,0
4,5,1
0,0,0
0,0,0
35,36,1
0,0,0
9,10,1
30,31,1
21,21,0
25,26,1
1,2,1
7,7,0
0,0,0
1,1,0
10,11,1
2,2,0
3,3,0
0,0,0
0,0,0
14,16,2
5,5,0
7,9,2
31,31,0
22,23,1
18,20,2
42,42,0
43,36,-7
27,26,-1
42,42,0
14,13,-1
18,16,-2
1,1,0
3,2,-1
23,22,-1
37,36,-1
0,0,0
10,9,-1
0,0,0
0,0,0
0,0,0
32,31,-1
1,1,0
5,5,0
7,7,0
27,26,-1
6,5,-1
9,7,-2
13,10,-3
1,1,0
30,30,0
40,36,-4
2,2,0
0,0,0
21,19,-2
26,22,-4
0,0,0
0,0,0
17,13,-4
0,0,0
4,3,-1
35,31,-4
2,1,-1
34,34,0
9,7,-2
13,10,-3
17,13,-4
22,19,-3
1,0,-1
4,2,-2
26,22,-4
25,25,0
0,0,0
42,42,0
0,0,0
36,31,-5
31,26,-5
6,5,-1
19,19,0
0,0,0
12,13,1
18,19,1
9,10,1
2,4,2
4,5,1
41,36,-5
0,0,0
7,9,2
3,2,-1
30,37,7
21,21,0
16,15,-1
12,10,-2
1,0,-1
2,1,-1
6,5,-1
0,0,0
26,27,1
26,25,-1
36,36,0
9,7,-2
0,0,0
0,0,0
31,30,-1
34,34,0
42,42,0
12,13,1
15,16,1
18,19,1
8,9,1
10,10,0
4,5,1
41,39,-2
0,0,0
2,4,2
32,34,2
41,42,1
18,22,4
0,0,0
11,13,2
15,13,-2
19,17,-2
4,4,0
1,1,0
7,7,0
0,0,0
0,0,0
0,0,0
0,0,0
10,10,0
35,31,-4
2,2,0
29,26,-3
7,9,2
17,19,2
39,36,-3
24,21,-3
14,16,2
4,5,1
2,3,1
9,10,1
24,25,1
42,49,7
26,30,4
34,37,3
17,19,2
18,22,4
8,10,2
13,16,3
5,7,2
8,10,2
0,0,0
0,0,0
12,13,1
1,1,0
1,2,1
0,0,0
0,0,0
9,13,4
26,26,0
6,9,3
3,4,1
21,21,0
5,7,2
0,0,0
41,40,-1
16,16,0
30,30,0
2,4,2
35,36,1
46,48,2
29,30,1
37,39,2
17,19,2
31,34,3
21,22,1
9,10,1
12,12,0
15,15,0
5,7,2
7,7,0
3,4,1
31,31,0
20,19,-1
49,49,0
3,5,2
40,39,-1
23,23,0
14,13,-1
1,3,2
11,11,0
6,7,1
16,18,2
