d_nem,nem,sigma
16.98225957049487,38.057889822595705,0.01
15.00374953130859,35.65241844769404,0.02
13.805867296711952,32.077180547351844,0.03
10.931020733652314,29.455741626794257,0.04
6.680022896393818,27.55771799274948,0.05
1.0513260828086244,26.91661896584621,0.060000000000000005
-4.541887384736119,26.31155581714734,0.06999999999999999
-8.460943542150039,26.995359628770306,0.08
-14.078947368421055,30.757055682684975,0.09
-18.805284319356694,33.54394026421596,0.09999999999999999
-23.93852065321806,36.54947166186359,0.11
-30.141843971631204,40.415947862756376,0.12
-36.60044150110376,44.679911699779254,0.13
-42.90962099125365,49.07482993197279,0.14
-51.02607709750567,55.716175359032505,0.15000000000000002
-60.19508534984056,64.16807353217034,0.16
-69.13429951690821,72.26859903381643,0.17
-76.40119760479043,78.79640718562875,0.18000000000000002
-86.53704778487136,88.7734571483846,0.19
-97.2378277153558,98.75842696629215,0.2
