Date,Price,Open,High,Low,Change
"Dec 31, 2018",6.67,6.69,6.69,6.66,0.00%
"Dec 28, 2018",6.67,6.68,6.68,6.66,0.00%
"Dec 27, 2018",6.67,6.67,6.69,6.67,0.15%
"Dec 26, 2018",6.66,6.64,6.66,6.64,0.00%
"Dec 24, 2018",6.66,6.63,6.67,6.63,0.45%
"Dec 21, 2018",6.63,6.63,6.63,6.61,0.00%
"Dec 20, 2018",6.63,6.63,6.63,6.62,-0.30%
"Dec 19, 2018",6.65,6.69,6.69,6.65,-0.75%
"Dec 18, 2018",6.7,6.67,6.7,6.67,-0.15%
"Dec 17, 2018",6.71,6.67,6.71,6.67,0.45%
"Dec 14, 2018",6.68,6.69,6.72,6.68,-0.30%
"Dec 13, 2018",6.7,6.69,6.71,6.69,0.00%
"Dec 12, 2018",6.7,6.71,6.71,6.62,-0.15%
"Dec 11, 2018",6.71,6.71,6.75,6.68,0.00%
"Dec 10, 2018",6.71,6.71,6.72,6.7,0.30%
"Dec 07, 2018",6.69,6.73,6.75,6.69,-0.30%
"Dec 06, 2018",6.71,6.73,6.74,6.69,-0.15%
"Dec 05, 2018",6.72,6.74,6.74,6.7,-0.59%
"Dec 04, 2018",6.76,6.78,6.78,6.72,-0.15%
"Dec 03, 2018",6.77,6.75,6.77,6.74,0.30%
"Nov 30, 2018",6.75,6.8,6.8,6.73,-0.15%
"Nov 29, 2018",6.76,6.79,6.79,6.73,0.15%
"Nov 28, 2018",6.75,6.81,6.81,6.74,-0.30%
"Nov 27, 2018",6.77,6.8,6.8,6.77,-0.59%
"Nov 26, 2018",6.81,6.77,6.83,6.77,0.44%
"Nov 22, 2018",6.78,6.84,6.84,6.78,-0.73%
"Nov 20, 2018",6.83,6.9,6.9,6.82,-0.29%
"Nov 19, 2018",6.85,6.85,6.87,6.84,0.44%
"Nov 16, 2018",6.82,6.84,6.85,6.8,-0.29%
"Nov 15, 2018",6.84,6.88,6.91,6.84,-1.01%
"Nov 14, 2018",6.91,6.89,6.92,6.88,-0.29%
"Nov 13, 2018",6.93,6.92,6.93,6.89,0.14%
"Nov 12, 2018",6.92,6.94,6.94,6.9,-0.43%
"Nov 09, 2018",6.95,6.95,6.95,6.92,0.14%
"Nov 06, 2018",6.94,6.92,6.94,6.9,0.29%
"Nov 05, 2018",6.92,6.92,6.94,6.9,-0.57%
"Nov 02, 2018",6.96,6.93,6.96,6.91,0.43%
"Nov 01, 2018",6.93,6.95,6.96,6.93,-0.29%
"Oct 31, 2018",6.95,6.96,6.98,6.94,-0.14%
"Oct 30, 2018",6.96,6.95,6.96,6.94,0.14%
"Oct 29, 2018",6.95,7.01,7.01,6.93,0.00%
"Oct 26, 2018",6.95,6.95,6.96,6.93,-0.14%
"Oct 25, 2018",6.96,7,7,6.94,0.14%
