Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Oct-2014,15370.7,15377.6,15270.95,15316.2,20668460,1323.06
07-Oct-2014,15214.25,15344.6,15157.7,15180.25,20601315,1574.35
08-Oct-2014,15130.35,15371.8,15130.35,15344.0,19840589,1410.06
09-Oct-2014,15434.35,15795.65,15434.35,15741.2,27780819,1784.65
10-Oct-2014,15603.45,15628.75,15439.35,15453.8,24179823,1362.02
13-Oct-2014,15360.7,15705.7,15301.65,15677.5,26082820,1597.67
14-Oct-2014,15790.95,15843.7,15560.25,15751.55,32225926,1864.61
16-Oct-2014,15690.35,15836.15,15477.05,15541.6,30855086,2004.6
17-Oct-2014,15617.35,15973.5,15603.45,15929.8,31311659,1962.83
20-Oct-2014,16259.7,16297.25,16157.05,16216.6,32100648,2135.01
21-Oct-2014,16281.95,16452.85,16269.0,16427.25,37131786,2498.99
22-Oct-2014,16570.4,16572.5,16365.6,16444.7,22170074,1623.45
23-Oct-2014,16508.4,16524.9,16444.05,16470.05,2960759,209.33
27-Oct-2014,16538.9,16664.3,16470.85,16556.6,22942944,1637.58
28-Oct-2014,16607.5,16702.3,16607.5,16667.0,18058541,1600.86
29-Oct-2014,16770.2,16770.2,16596.25,16634.05,19023898,1619.2
30-Oct-2014,16606.5,16776.35,16561.35,16760.05,32012908,2565.48
31-Oct-2014,16812.45,17060.15,16783.65,17045.05,30066791,2379.73
03-Nov-2014,17087.0,17168.4,16934.85,17134.1,27947948,1997.6
05-Nov-2014,17201.45,17425.2,17157.8,17352.95,26884330,2313.87
07-Nov-2014,17366.85,17383.6,17202.2,17347.05,27539546,2078.62
10-Nov-2014,17364.65,17412.0,17203.0,17262.4,18619468,1436.89
11-Nov-2014,17266.25,17434.15,17220.45,17390.2,22486483,1805.57
12-Nov-2014,17461.45,17635.9,17453.45,17587.05,27093290,2126.71
13-Nov-2014,17645.3,17651.0,17389.65,17453.0,23662826,2014.64
14-Nov-2014,17460.55,17601.15,17410.5,17576.8,27021001,2714.55
17-Nov-2014,17571.7,17676.6,17469.25,17640.4,26928513,2918.64
18-Nov-2014,17672.85,17750.25,17601.15,17702.55,24168195,2396.84
19-Nov-2014,17739.2,17745.7,17557.1,17585.65,19839984,1807.93
