date,lowerIV,higherIV,actualIV,LowerLimIV,UpperLimIV
2017-10-03,0.094,0.107,0.095,0.062,0.132
2017-10-04,0.093,0.107,0.089,0.061,0.132
2017-10-05,0.107,0.121,0.094,0.079,0.147
2017-10-06,0.09,0.104,0.088,0.063,0.131
2017-10-09,0.091,0.114,0.1,0.074,0.143
2017-10-10,0.074,0.108,0.09,0.076,0.139
2017-10-11,0.09,0.121,0.089,0.081,0.153
2017-10-12,0.053,0.101,0.085,0.074,0.137
2017-10-13,0.053,0.101,0.094,0.077,0.137
2017-10-16,0.067,0.103,0.093,0.078,0.132
2017-10-17,0.078,0.115,0.098,0.088,0.146
2017-10-18,0.079,0.119,0.1,0.095,0.151
2017-10-19,0.094,0.138,0.098,0.11,0.173
2017-10-23,0.101,0.109,0.095,0.082,0.126
2017-10-24,0.105,0.114,0.102,0.079,0.132
2017-10-25,0.093,0.102,0.093,0.067,0.121
2017-10-26,0.097,0.107,0.084,0.069,0.126
2017-10-27,0.089,0.1,0.094,0.059,0.119
2017-10-30,0.088,0.099,0.092,0.063,0.119
2017-10-31,0.089,0.1,0.1,0.064,0.12
2017-11-01,0.081,0.093,0.096,0.057,0.114
2017-11-02,0.096,0.108,0.093,0.069,0.129
2017-11-03,0.083,0.095,0.089,0.058,0.118
2017-11-06,0.088,0.101,0.102,0.066,0.125
2017-11-07,0.114,0.127,0.125,0.095,0.151
2017-11-08,0.118,0.131,0.126,0.088,0.156
2017-11-09,0.092,0.112,0.113,0.077,0.139
2017-11-10,0.082,0.105,0.098,0.072,0.132
2017-11-13,0.099,0.118,0.132,0.087,0.142
2017-11-14,0.106,0.122,0.133,0.086,0.146
2017-11-15,0.111,0.131,0.125,0.098,0.156
2017-11-16,0.081,0.107,0.113,0.08,0.131
2017-11-17,0.077,0.104,0.112,0.078,0.129
2017-11-20,0.088,0.122,0.119,0.096,0.151
2017-11-21,0.08,0.114,0.119,0.088,0.144
2017-11-22,0.074,0.117,0.117,0.094,0.149
2017-11-23,0.075,0.12,0.115,0.096,0.154
2017-11-24,0.061,0.121,0.114,0.103,0.159
2017-11-27,0.1,0.111,0.115,0.067,0.131
2017-11-28,0.1,0.111,0.112,0.066,0.131
2017-11-29,0.1,0.112,0.11,0.071,0.133
2017-11-30,0.119,0.13,0.122,0.088,0.151
2017-12-01,0.117,0.128,0.126,0.086,0.15
2017-12-04,0.105,0.117,0.131,0.075,0.14
2017-12-05,0.107,0.121,0.133,0.081,0.145
2017-12-06,0.126,0.139,0.136,0.097,0.163
2017-12-07,0.094,0.109,0.128,0.061,0.134
