date,lowerIV,higherIV,actualIV,LowerLimIV,UpperLimIV
2019-04-02,0.117,0.131,0.149,0.083,0.158
2019-04-03,0.098,0.134,0.164,0.099,0.168
2019-04-04,0.095,0.137,0.143,0.103,0.172
2019-04-09,0.085,0.125,0.14,0.09,0.159
2019-04-10,0.077,0.124,0.148,0.09,0.162
2019-04-11,0.075,0.127,0.135,0.099,0.167
2019-04-16,0.091,0.121,0.147,0.084,0.152
2019-04-18,0.073,0.123,0.151,0.098,0.158
2019-04-24,0.098,0.126,0.168,0.087,0.156
2019-04-25,0.091,0.127,0.158,0.091,0.16
2019-05-07,0.112,0.14,0.259,0.094,0.169
2019-05-08,0.106,0.147,0.244,0.109,0.181
2019-05-10,0.127,0.165,0.237,0.114,0.202
2019-05-13,0.142,0.156,0.299,0.106,0.181
2019-05-15,0.153,0.168,0.313,0.112,0.196
2019-05-22,0.149,0.172,0.331,0.128,0.202
2019-05-23,0.164,0.187,0.205,0.134,0.22
2019-05-29,0.158,0.172,0.136,0.134,0.197
2019-06-04,0.147,0.161,0.126,0.113,0.188
2019-06-10,0.138,0.152,0.115,0.106,0.179
2019-06-11,0.136,0.155,0.113,0.108,0.184
2019-06-12,0.13,0.154,0.111,0.101,0.184
2019-06-14,0.12,0.149,0.113,0.107,0.183
2019-06-17,0.102,0.13,0.134,0.097,0.161
2019-06-19,0.101,0.135,0.127,0.102,0.167
2019-06-25,0.114,0.137,0.132,0.093,0.166
2019-06-26,0.114,0.134,0.142,0.092,0.162
2019-06-28,0.096,0.132,0.142,0.094,0.166
2019-07-01,0.102,0.126,0.144,0.083,0.156
2019-07-03,0.086,0.119,0.132,0.087,0.152
2019-07-05,0.086,0.132,0.11,0.096,0.17
2019-07-10,0.111,0.151,0.118,0.112,0.189
2019-07-17,0.095,0.133,0.09,0.107,0.165
2019-07-24,0.091,0.135,0.115,0.12,0.168
2019-07-25,0.105,0.14,0.118,0.109,0.173
2019-07-26,0.113,0.143,0.109,0.108,0.176
2019-07-29,0.118,0.141,0.117,0.102,0.17
2019-07-30,0.123,0.148,0.121,0.108,0.178
2019-08-01,0.12,0.152,0.133,0.113,0.186
2019-08-02,0.095,0.132,0.145,0.091,0.167
2019-08-05,0.107,0.134,0.166,0.083,0.166
2019-08-06,0.086,0.121,0.152,0.079,0.154
2019-08-07,0.1,0.134,0.151,0.089,0.168
2019-08-08,0.091,0.124,0.147,0.08,0.159
2019-08-09,0.099,0.136,0.137,0.095,0.173
2019-08-13,0.112,0.14,0.152,0.095,0.17
2019-08-14,0.134,0.157,0.133,0.11,0.187
2019-08-16,0.108,0.142,0.148,0.103,0.176
2019-08-19,0.11,0.132,0.151,0.093,0.16
2019-08-20,0.115,0.141,0.154,0.105,0.17
2019-08-21,0.102,0.133,0.16,0.104,0.164
2019-08-22,0.096,0.134,0.154,0.102,0.169
2019-08-23,0.105,0.14,0.166,0.103,0.174
2019-08-26,0.125,0.139,0.147,0.095,0.164
2019-08-28,0.115,0.138,0.154,0.096,0.168
2019-08-29,0.114,0.142,0.164,0.097,0.174
2019-08-30,0.106,0.14,0.138,0.098,0.174
2019-09-03,0.122,0.144,0.177,0.096,0.175
2019-09-04,0.125,0.147,0.167,0.088,0.179
2019-09-05,0.121,0.148,0.162,0.098,0.181
2019-09-06,0.127,0.154,0.139,0.099,0.188
2019-09-09,0.129,0.145,0.139,0.082,0.174
2019-09-11,0.127,0.15,0.141,0.092,0.184
2019-09-12,0.123,0.158,0.129,0.104,0.196
2019-09-13,0.111,0.156,0.128,0.115,0.196
2019-09-16,0.115,0.139,0.141,0.099,0.168
2019-09-17,0.108,0.136,0.152,0.101,0.166
2019-09-18,0.109,0.137,0.144,0.095,0.168
2019-09-19,0.109,0.141,0.141,0.101,0.174
2019-09-20,0.135,0.157,0.152,0.108,0.188
2019-09-23,0.147,0.159,0.155,0.122,0.181
2019-09-24,0.156,0.168,0.168,0.122,0.192
2019-09-25,0.163,0.177,0.17,0.126,0.203
2019-09-26,0.161,0.175,0.159,0.125,0.203
2019-09-27,0.163,0.179,0.162,0.128,0.208
