date,lowerIV,higherIV,actualIV
2019-04-02,0.089,0.11,0.146
2019-04-03,0.094,0.128,0.164
2019-04-04,0.094,0.133,0.143
2019-04-09,0.09,0.124,0.144
2019-04-10,0.089,0.127,0.154
2019-04-11,0.086,0.127,0.14
2019-04-16,0.106,0.126,0.156
2019-04-18,0.09,0.128,0.153
2019-04-24,0.109,0.132,0.169
2019-04-25,0.1,0.129,0.164
2019-05-07,0.107,0.135,0.259
2019-05-08,0.106,0.145,0.242
2019-05-10,0.108,0.15,0.235
2019-05-13,0.111,0.13,0.299
2019-05-15,0.134,0.15,0.313
2019-05-22,0.11,0.141,0.339
2019-05-23,0.119,0.153,0.203
2019-05-29,0.137,0.151,0.135
2019-06-04,0.103,0.123,0.128
2019-06-10,0.105,0.132,0.115
2019-06-11,0.1,0.13,0.113
2019-06-12,0.092,0.129,0.111
2019-06-14,0.101,0.134,0.112
2019-06-17,0.099,0.131,0.134
2019-06-19,0.1,0.135,0.126
2019-06-25,0.103,0.129,0.132
2019-06-26,0.108,0.129,0.143
2019-06-28,0.09,0.128,0.144
2019-07-01,0.105,0.131,0.149
2019-07-03,0.084,0.118,0.134
2019-07-05,0.086,0.131,0.108
2019-07-10,0.093,0.143,0.118
2019-07-17,0.095,0.133,0.09
2019-07-24,0.097,0.141,0.115
2019-07-25,0.111,0.145,0.121
2019-07-26,0.133,0.157,0.11
2019-07-29,0.139,0.154,0.117
2019-07-30,0.15,0.166,0.121
2019-08-01,0.146,0.169,0.133
2019-08-02,0.125,0.152,0.147
2019-08-05,0.139,0.156,0.167
2019-08-06,0.101,0.131,0.156
2019-08-07,0.132,0.156,0.152
2019-08-08,0.106,0.134,0.147
2019-08-09,0.11,0.143,0.135
2019-08-13,0.132,0.152,0.152
2019-08-14,0.145,0.161,0.132
2019-08-16,0.111,0.143,0.148
2019-08-19,0.104,0.13,0.151
2019-08-20,0.105,0.136,0.155
2019-08-21,0.099,0.133,0.161
2019-08-22,0.103,0.136,0.152
2019-08-23,0.094,0.132,0.166
2019-08-26,0.112,0.129,0.148
2019-08-28,0.094,0.124,0.155
2019-08-29,0.095,0.127,0.168
2019-08-30,0.081,0.122,0.139
2019-09-03,0.08,0.118,0.177
2019-09-04,0.091,0.122,0.167
2019-09-05,0.093,0.129,0.162
2019-09-06,0.077,0.12,0.139
2019-09-09,0.088,0.11,0.139
2019-09-11,0.07,0.112,0.141
2019-09-12,0.072,0.122,0.13
2019-09-13,0.074,0.129,0.129
2019-09-16,0.087,0.122,0.141
2019-09-17,0.089,0.124,0.152
2019-09-18,0.085,0.12,0.144
2019-09-19,0.086,0.125,0.141
2019-09-20,0.112,0.143,0.152
2019-09-23,0.116,0.127,0.151
2019-09-24,0.141,0.154,0.169
2019-09-25,0.145,0.159,0.17
2019-09-26,0.125,0.148,0.159
2019-09-27,0.123,0.149,0.163
2019-09-30,0.135,0.148,0.151
2019-10-01,0.134,0.149,0.174
2019-10-03,0.14,0.16,0.177
2019-10-04,0.148,0.169,0.171
2019-10-07,0.152,0.166,0.176
2019-10-09,0.157,0.172,0.162
2019-10-10,0.171,0.187,0.159
2019-10-11,0.168,0.186,0.152
2019-10-14,0.154,0.167,0.153
2019-10-15,0.148,0.162,0.147
2019-10-16,0.139,0.155,0.139
2019-10-17,0.129,0.149,0.137
2019-10-18,0.126,0.145,0.136
2019-10-22,0.089,0.12,0.167
2019-10-23,0.077,0.113,0.157
2019-10-24,0.08,0.116,0.16
2019-10-25,0.075,0.115,0.143
2019-10-27,0.089,0.133,0.133
2019-10-29,0.087,0.105,0.159
2019-10-30,0.085,0.108,0.153
2019-10-31,0.076,0.112,0.14
2019-11-01,0.066,0.11,0.132
2019-11-04,0.072,0.095,0.139
2019-11-05,0.065,0.099,0.137
2019-11-06,0.062,0.102,0.138
2019-11-07,0.058,0.102,0.125
2019-11-08,0.046,0.104,0.13
2019-11-11,0.057,0.095,0.135
2019-11-13,0.053,0.106,0.134
2019-11-14,0.053,0.1,0.128
2019-11-15,0.046,0.099,0.133
2019-11-18,0.051,0.095,0.138
2019-11-19,0.048,0.095,0.133
2019-11-20,0.047,0.098,0.128
2019-11-21,0.056,0.102,0.123
2019-11-22,0.056,0.106,0.117
2019-11-25,0.081,0.1,0.135
2019-11-26,0.06,0.099,0.142
2019-11-27,0.059,0.094,0.124
2019-11-28,0.065,0.1,0.107
2019-11-29,0.066,0.108,0.115
2019-12-02,0.064,0.095,0.121
2019-12-03,0.068,0.104,0.127
2019-12-04,0.066,0.106,0.118
2019-12-05,0.067,0.108,0.106
2019-12-06,0.069,0.113,0.12
2019-12-09,0.061,0.108,0.122
2019-12-10,0.062,0.108,0.134
2019-12-11,0.061,0.11,0.118
2019-12-12,0.067,0.115,0.126
2019-12-13,0.077,0.128,0.132
2019-12-16,0.077,0.11,0.122
2019-12-17,0.072,0.104,0.112
2019-12-18,0.065,0.101,0.108
2019-12-19,0.063,0.103,0.1
2019-12-20,0.067,0.111,0.107
2019-12-23,0.068,0.099,0.111
2019-12-24,0.069,0.107,0.111
2019-12-26,0.073,0.115,0.106
2019-12-27,0.058,0.1,0.099
2019-12-30,0.06,0.09,0.102
2019-12-31,0.057,0.094,0.117
2020-01-01,0.059,0.099,0.103
2020-01-02,0.074,0.106,0.098
2020-01-03,0.065,0.107,0.098
2020-01-06,0.089,0.117,0.135
2020-01-07,0.085,0.117,0.132
2020-01-08,0.08,0.117,0.139
2020-01-09,0.095,0.126,0.129
2020-01-10,0.09,0.125,0.117
2020-01-13,0.089,0.113,0.126
2020-01-14,0.09,0.117,0.124
2020-01-15,0.084,0.115,0.125
2020-01-16,0.082,0.116,0.115
2020-01-17,0.09,0.127,0.125
2020-01-20,0.097,0.126,0.151
2020-01-21,0.097,0.128,0.155
2020-01-22,0.097,0.13,0.165
2020-01-23,0.103,0.135,0.15
2020-01-24,0.094,0.129,0.152
2020-01-27,0.095,0.125,0.186
2020-01-28,0.096,0.129,0.195
2020-01-29,0.092,0.127,0.171
2020-01-30,0.095,0.132,0.178
2020-01-31,0.075,0.122,0.199
2020-02-01,0.127,0.163,0.16
2020-02-03,0.117,0.136,0.128
2020-02-04,0.12,0.143,0.105
2020-02-05,0.121,0.144,0.102
2020-02-06,0.112,0.144,0.101
2020-02-07,0.128,0.158,0.099
2020-02-10,0.142,0.16,0.112
2020-02-11,0.134,0.153,0.113
2020-02-12,0.121,0.141,0.115
2020-02-13,0.108,0.136,0.097
2020-02-14,0.107,0.137,0.113
2020-02-17,0.114,0.136,0.129
2020-02-18,0.128,0.151,0.125
2020-02-19,0.127,0.152,0.116
2020-02-20,0.127,0.154,0.11
2020-02-24,0.11,0.146,0.149
2020-02-25,0.126,0.15,0.155
2020-02-26,0.132,0.158,0.17
2020-02-27,0.13,0.155,0.155
2020-02-28,0.175,0.194,0.211
2020-03-02,0.174,0.188,0.233
2020-03-03,0.191,0.205,0.231
2020-03-04,0.192,0.208,0.222
2020-03-05,0.2,0.216,0.196
2020-03-06,0.202,0.22,0.211
2020-03-09,0.226,0.24,0.315
2020-03-11,0.215,0.231,0.308
2020-03-13,0.262,0.281,0.566
2020-03-16,0.276,0.289,0.703
2020-03-17,0.286,0.3,0.767
2020-03-18,0.335,0.35,0.749
2020-03-19,0.331,0.347,0.855
2020-03-20,0.29,0.308,0.734
2020-03-24,0.218,0.227,0.841
2020-03-25,0.253,0.263,0.774
2020-03-26,0.212,0.223,0.669
2020-03-27,0.264,0.279,0.687
2020-03-30,0.216,0.225,0.69
2020-03-31,0.205,0.215,0.605
2020-04-01,0.297,0.309,0.543
2020-04-03,0.407,0.421,0.48
2020-04-07,0.241,0.253,0.508
2020-04-08,0.249,0.263,0.49
2020-04-09,0.178,0.193,0.414
2020-04-13,0.202,0.215,0.486
2020-04-15,0.259,0.273,0.481
