date,lowerIV,higherIV,actualIV,LowerLimIV,UpperLimIV
2019-04-02,0.123,0.133,0.153,0.103,0.144
2019-04-03,0.136,0.147,0.165,0.116,0.157
2019-04-04,0.139,0.149,0.157,0.117,0.16
2019-04-09,0.114,0.126,0.157,0.09,0.138
2019-04-10,0.141,0.154,0.158,0.116,0.166
2019-04-11,0.127,0.14,0.153,0.101,0.153
2019-04-16,0.085,0.098,0.128,0.061,0.11
2019-04-18,0.141,0.148,0.262,0.126,0.156
2019-04-24,0.167,0.175,0.244,0.151,0.183
2019-04-25,0.164,0.172,0.235,0.148,0.18
2019-05-07,0.18,0.19,0.287,0.16,0.2
2019-05-08,0.231,0.241,0.291,0.21,0.251
2019-05-10,0.184,0.195,0.28,0.163,0.206
2019-05-13,0.216,0.227,0.32,0.192,0.239
2019-05-15,0.165,0.177,0.331,0.14,0.19
2019-05-22,0.166,0.183,0.423,0.133,0.2
2019-05-23,0.2,0.219,0.216,0.164,0.237
2019-05-29,0.142,0.151,0.136,0.124,0.16
2019-06-04,0.13,0.14,0.132,0.11,0.15
2019-06-10,0.144,0.151,0.126,0.129,0.158
2019-06-11,0.104,0.12,0.102,0.071,0.136
2019-06-12,0.154,0.161,0.121,0.139,0.169
2019-06-14,0.153,0.16,0.121,0.138,0.168
2019-06-17,0.153,0.169,0.131,0.123,0.184
2019-06-19,0.131,0.139,0.127,0.114,0.147
2019-06-25,0.11,0.119,0.139,0.092,0.128
2019-06-26,0.134,0.147,0.152,0.109,0.159
2019-06-28,0.14,0.15,0.143,0.122,0.159
2019-07-01,0.119,0.129,0.138,0.1,0.139
2019-07-03,0.126,0.137,0.127,0.105,0.147
2019-07-05,0.137,0.148,0.106,0.116,0.159
2019-07-10,0.171,0.183,0.112,0.146,0.196
2019-07-17,0.102,0.11,0.094,0.087,0.117
2019-07-24,0.155,0.163,0.111,0.139,0.171
2019-07-25,0.122,0.13,0.118,0.105,0.138
2019-07-26,0.122,0.141,0.11,0.083,0.161
2019-07-29,0.138,0.146,0.111,0.12,0.155
2019-07-30,0.116,0.125,0.109,0.098,0.134
2019-08-01,0.124,0.134,0.131,0.106,0.143
2019-08-02,0.12,0.129,0.135,0.101,0.138
2019-08-05,0.151,0.161,0.153,0.132,0.171
2019-08-06,0.132,0.143,0.143,0.112,0.153
2019-08-07,0.133,0.143,0.146,0.112,0.153
2019-08-08,0.118,0.128,0.143,0.097,0.138
2019-08-09,0.139,0.15,0.134,0.118,0.161
2019-08-13,0.179,0.191,0.151,0.155,0.203
2019-08-14,0.146,0.159,0.136,0.122,0.171
2019-08-16,0.134,0.142,0.147,0.119,0.149
2019-08-19,0.157,0.169,0.168,0.134,0.18
2019-08-20,0.136,0.144,0.153,0.12,0.152
2019-08-21,0.16,0.172,0.154,0.135,0.185
2019-08-22,0.215,0.233,0.152,0.179,0.252
2019-08-23,0.166,0.186,0.181,0.127,0.206
2019-08-26,0.131,0.14,0.145,0.113,0.148
2019-08-28,0.151,0.16,0.153,0.133,0.169
