date,lowerIV,higherIV,actualIV
2019-04-10,0.156,0.181,0.232
2019-04-11,0.128,0.165,0.219
2019-04-18,0.106,0.121,0.255
2019-04-24,0.155,0.166,0.26
2019-04-25,0.14,0.153,0.25
2019-05-07,0.153,0.169,0.292
2019-05-08,0.108,0.133,0.194
2019-05-10,0.191,0.203,0.297
2019-05-13,0.167,0.176,0.293
2019-05-15,0.099,0.135,0.377
2019-05-22,0.144,0.156,0.276
2019-05-23,0.124,0.139,0.194
2019-06-10,0.138,0.148,0.11
2019-06-11,0.098,0.114,0.112
2019-06-12,0.155,0.165,0.108
2019-06-17,0.166,0.194,0.153
2019-06-25,0.122,0.137,0.148
2019-06-28,0.143,0.157,0.154
2019-07-10,0.169,0.183,0.094
2019-07-24,0.139,0.148,0.112
2019-07-25,0.134,0.145,0.128
2019-07-26,0.101,0.117,0.105
2019-07-29,0.143,0.154,0.105
2019-07-30,0.137,0.148,0.097
2019-08-01,0.147,0.159,0.141
2019-08-02,0.113,0.133,0.127
2019-08-05,0.141,0.154,0.158
2019-08-16,0.148,0.158,0.164
2019-08-19,0.153,0.163,0.161
2019-08-20,0.067,0.098,0.166
2019-08-22,0.14,0.149,0.165
2019-08-28,0.087,0.112,0.152
2019-08-29,0.069,0.106,0.182
2019-09-03,0.091,0.123,0.194
2019-09-04,0.115,0.138,0.218
2019-09-05,0.113,0.139,0.161
2019-09-16,0.133,0.143,0.152
2019-09-17,0.114,0.127,0.148
2019-09-18,0.144,0.154,0.15
2019-09-19,0.142,0.151,0.141
2019-10-01,0.139,0.152,0.182
2019-10-11,0.119,0.143,0.151
2019-11-01,0.101,0.124,0.152
2019-11-14,0.107,0.122,0.162
2019-11-26,0.069,0.104,0.184
2019-11-29,0.066,0.109,0.143
2019-12-10,0.128,0.159,0.175
2020-01-06,0.121,0.139,0.168
2020-01-08,0.141,0.159,0.177
2020-01-23,0.12,0.135,0.156
2020-01-27,0.113,0.129,0.175
2020-01-29,0.106,0.125,0.156
2020-01-30,0.089,0.115,0.152
2020-01-31,0.164,0.178,0.166
2020-02-01,0.236,0.26,0.134
2020-02-03,0.139,0.155,0.092
2020-02-10,0.094,0.109,0.103
2020-02-13,0.118,0.131,0.081
2020-02-14,0.125,0.165,0.073
2020-02-17,0.097,0.114,0.134
2020-02-24,0.129,0.141,0.139
2020-02-25,0.13,0.144,0.149
2020-02-26,0.149,0.162,0.158
2020-02-27,0.179,0.19,0.138
2020-02-28,0.223,0.233,0.172
2020-03-02,0.186,0.198,0.229
2020-03-03,0.105,0.129,0.241
2020-03-04,0.183,0.197,0.223
2020-03-05,0.171,0.186,0.197
2020-03-06,0.195,0.208,0.21
2020-03-09,0.298,0.31,0.317
2020-03-11,0.19,0.208,0.348
2020-03-16,0.213,0.22,0.581
2020-03-17,0.356,0.372,0.86
2020-03-18,0.512,0.53,0.782
2020-03-19,0.373,0.392,0.919
2020-03-20,0.08,0.103,0.678
2020-03-24,0.222,0.23,0.874
2020-03-26,0.101,0.12,0.684
2020-03-30,0.19,0.201,0.722
2020-03-31,0.109,0.126,0.648
2020-04-01,0.161,0.172,0.604
2020-04-03,0.111,0.13,0.553
