C_i,P_i,C_i-P_i
45,49,4
13,49,36
3,49,46
1,49,48
16,49,33
47,49,2
27,49,22
23,49,26
15,49,34
17,49,32
21,49,28
5,49,44
6,49,43
8,49,41
10,49,39
4,49,45
15,49,34
37,49,12
34,49,15
29,49,20
29,49,20
10,49,39
22,49,27
3,49,46
7,49,42
8,49,41
12,49,37
5,49,44
7,49,42
45,49,4
10,49,39
8,49,41
20,49,29
12,49,37
17,49,32
33,49,16
38,49,11
3,49,46
15,49,34
23,49,26
49,49,0
41,49,8
2,49,47
27,49,22
38,49,11
42,49,7
7,49,42
5,49,44
4,49,45
2,49,47
4,49,45
30,49,19
2,49,47
1,49,48
0,49,49
1,49,48
0,49,49
18,49,31
10,49,39
33,49,16
26,49,23
2,49,47
7,49,42
15,49,34
12,49,37
49,49,0
44,49,5
29,49,20
33,49,16
36,49,13
19,49,30
2,49,47
6,49,43
7,49,42
3,49,46
16,49,33
14,49,35
11,49,38
22,49,27
9,49,40
2,49,47
40,49,9
26,49,23
4,49,45
1,49,48
0,49,49
2,49,47
13,49,36
0,49,49
1,49,48
7,49,42
0,49,49
0,49,49
37,49,12
0,49,49
10,49,39
4,49,45
3,49,46
5,49,44
20,49,29
22,49,27
16,49,33
2,49,47
7,49,42
29,49,20
0,49,49
3,49,46
40,49,9
38,49,11
21,49,28
25,49,24
27,49,22
10,49,39
15,49,34
4,49,45
1,49,48
34,49,15
6,49,43
32,49,17
12,49,37
18,49,31
0,49,49
12,49,37
1,49,48
3,49,46
2,49,47
1,49,48
8,49,41
7,49,42
18,49,31
0,49,49
0,49,49
1,49,48
20,49,29
3,49,46
30,49,19
37,49,12
16,49,33
22,49,27
6,49,43
8,49,41
6,49,43
0,49,49
26,49,23
10,49,39
13,49,36
3,49,46
33,49,16
46,49,3
2,49,47
19,49,30
3,49,46
2,49,47
13,49,36
4,49,45
11,49,38
1,49,48
5,49,44
8,49,41
41,49,8
3,49,46
14,49,35
46,49,3
42,49,7
21,49,28
13,49,36
0,49,49
0,49,49
0,49,49
4,49,45
3,49,46
1,49,48
8,49,41
22,49,27
19,49,30
15,49,34
10,49,39
2,49,47
6,49,43
3,49,46
34,49,15
26,49,23
1,49,48
5,49,44
2,49,47
1,49,48
26,49,23
0,49,49
7,49,42
10,49,39
29,49,20
37,49,12
13,49,36
0,49,49
11,49,38
17,49,32
49,49,0
40,49,9
30,49,19
35,49,14
26,49,23
32,49,17
46,49,3
24,49,25
3,49,46
49,49,0
21,49,28
7,49,42
9,49,40
1,49,48
0,49,49
13,49,36
42,49,7
5,49,44
3,49,46
2,49,47
20,49,29
0,49,49
37,49,12
16,49,33
0,49,49
33,49,16
28,49,21
24,49,25
28,49,21
38,49,11
49,49,0
4,49,45
33,49,16
19,49,30
2,49,47
1,49,48
5,49,44
37,49,12
24,49,25
49,49,0
16,49,33
12,49,37
49,49,0
44,49,5
39,49,10
12,49,37
0,49,49
8,49,41
0,49,49
0,49,49
2,49,47
0,49,49
0,49,49
0,49,49
27,49,22
24,49,25
4,49,45
1,49,48
0,49,49
15,49,34
11,49,38
19,49,30
32,49,17
29,49,20
6,49,43
8,49,41
19,49,30
41,49,8
40,49,9
46,49,3
20,49,29
25,49,24
29,49,20
49,49,0
16,49,33
49,49,0
35,49,14
32,49,17
5,49,44
21,49,28
1,49,48
1,49,48
0,49,49
30,49,19
0,49,49
10,49,39
13,49,36
0,49,49
3,49,46
7,49,42
16,49,33
27,49,22
12,49,37
19,49,30
24,49,25
29,49,20
49,49,0
40,49,9
37,49,12
49,49,0
45,49,4
49,49,0
31,49,18
34,49,15
2,49,47
7,49,42
12,49,37
11,49,38
19,49,30
1,49,48
0,49,49
0,49,49
0,49,49
0,49,49
32,49,17
2,49,47
1,49,48
15,49,34
3,49,46
2,49,47
3,49,46
8,49,41
11,49,38
18,49,31
23,49,26
5,49,44
0,49,49
28,49,21
41,49,8
35,49,14
47,49,2
25,49,24
30,49,19
14,49,35
23,49,26
15,49,34
21,49,28
19,49,30
17,49,32
3,49,46
0,49,49
11,49,38
49,49,0
1,49,48
12,49,37
17,49,32
36,49,13
13,49,36
14,49,35
33,49,16
39,49,10
45,49,4
16,49,33
26,49,23
21,49,28
24,49,25
28,49,21
30,49,19
19,49,30
49,49,0
46,49,3
9,49,40
3,49,46
2,49,47
2,49,47
6,49,43
4,49,45
13,49,36
8,49,41
0,49,49
1,49,48
12,49,37
1,49,48
26,49,23
11,49,38
18,49,31
32,49,17
13,49,36
14,49,35
20,49,29
22,49,27
24,49,25
29,49,20
16,49,33
13,49,36
0,49,49
1,49,48
1,49,48
2,49,47
0,49,49
20,49,29
4,49,45
9,49,40
8,49,41
6,49,43
38,49,11
15,49,34
44,49,5
3,49,46
28,49,21
15,49,34
17,49,32
21,49,28
12,49,37
14,49,35
26,49,23
20,49,29
24,49,25
28,49,21
38,49,11
33,49,16
44,49,5
49,49,0
49,49,0
20,49,29
18,49,31
23,49,26
11,49,38
14,49,35
22,49,27
43,49,6
38,49,11
49,49,0
31,49,18
49,49,0
42,49,7
31,49,18
34,49,15
49,49,0
26,49,23
28,49,21
15,49,34
37,49,12
23,49,26
21,49,28
33,49,16
37,49,12
19,49,30
23,49,26
27,49,22
17,49,32
16,49,33
44,49,5
12,49,37
10,49,39
19,49,30
10,49,39
13,49,36
12,49,37
26,49,23
15,49,34
17,49,32
22,49,27
13,49,36
13,49,36
45,49,4
20,49,29
25,49,24
33,49,16
38,49,11
49,49,0
47,49,2
49,49,0
49,49,0
36,49,13
30,49,19
42,49,7
47,49,2
17,49,32
36,49,13
42,49,7
11,49,38
8,49,41
14,49,35
25,49,24
22,49,27
20,49,29
32,49,17
30,49,19
27,49,22
18,49,31
16,49,33
7,49,42
15,49,34
6,49,43
42,49,7
49,49,0
19,49,30
32,49,17
18,49,31
11,49,38
10,49,39
46,49,3
39,49,10
27,49,22
33,49,16
13,49,36
22,49,27
17,49,32
9,49,40
29,49,20
46,49,3
36,49,13
2,49,47
2,49,47
4,49,45
3,49,46
7,49,42
6,49,43
15,49,34
4,49,45
10,49,39
21,49,28
25,49,24
12,49,37
15,49,34
18,49,31
9,49,40
13,49,36
5,49,44
8,49,41
11,49,38
26,49,23
48,49,1
40,49,9
21,49,28
33,49,16
6,49,43
11,49,38
1,49,48
24,49,25
32,49,17
17,49,32
3,49,46
6,49,43
16,49,33
11,49,38
9,49,40
5,49,44
4,49,45
19,49,30
7,49,42
32,49,17
25,49,24
21,49,28
13,49,36
5,49,44
21,49,28
28,49,21
11,49,38
35,49,14
9,49,40
14,49,35
19,49,30
