xgb_cipi,ann_cipi,avg
26,26,26.0
15,13,14.0
1,1,1.0
1,1,1.0
5,2,3.5
9,7,8.0
7,7,7.0
20,19,19.5
5,3,4.0
7,12,9.5
18,15,16.5
26,30,28.0
35,36,35.5
2,0,1.0
44,43,43.5
4,3,3.5
1,1,1.0
1,0,0.5
15,12,13.5
12,7,9.5
12,9,10.5
18,15,16.5
1,2,1.5
37,39,38.0
6,4,5.0
30,30,30.0
37,36,36.5
26,26,26.0
1,1,1.0
20,20,20.0
1,1,1.0
3,3,3.0
1,0,0.5
7,12,9.5
7,7,7.0
44,43,43.5
7,7,7.0
5,4,4.5
37,36,36.5
18,15,16.5
20,19,19.5
20,22,21.0
1,1,1.0
26,30,28.0
15,15,15.0
20,22,21.0
1,0,0.5
1,1,1.0
1,1,1.0
20,20,20.0
7,12,9.5
28,31,29.5
8,7,7.5
37,36,36.5
26,26,26.0
8,7,7.5
44,43,43.5
36,39,37.5
5,4,4.5
3,2,2.5
3,3,3.0
18,13,15.5
0,0,0.0
1,0,0.5
1,1,1.0
16,19,17.5
7,9,8.0
23,22,22.5
3,1,2.0
43,43,43.0
23,26,24.5
28,30,29.0
37,36,36.5
7,7,7.0
7,4,5.5
37,39,38.0
20,19,19.5
18,15,16.5
1,1,1.0
3,3,3.0
4,4,4.0
0,0,0.0
1,0,0.5
34,36,35.0
1,0,0.5
15,12,13.5
30,31,30.5
26,22,24.0
26,26,26.0
1,1,1.0
7,7,7.0
1,0,0.5
1,1,1.0
15,12,13.5
1,2,1.5
5,4,4.5
1,0,0.5
1,0,0.5
18,15,16.5
6,7,6.5
9,7,8.0
33,36,34.5
26,26,26.0
20,19,19.5
43,43,43.0
39,39,39.0
26,30,28.0
42,43,42.5
16,18,17.0
20,22,21.0
1,2,1.5
4,4,4.0
26,26,26.0
37,43,40.0
0,0,0.0
12,13,12.5
0,0,0.0
1,0,0.5
0,0,0.0
33,36,34.5
2,1,1.5
4,7,5.5
6,7,6.5
29,30,29.5
7,7,7.0
9,11,10.0
13,15,14.0
1,1,1.0
29,33,31.0
40,43,41.5
3,3,3.0
1,1,1.0
20,22,21.0
24,30,27.0
0,0,0.0
0,0,0.0
16,19,17.5
0,0,0.0
4,4,4.0
37,36,36.5
3,3,3.0
37,39,38.0
11,7,9.0
