date,lower_p,higher_p,actual_p,LowerLim_p,UpperLim_p
2017-10-03,232.8,242.5,221.2,213.4,261.9
2017-10-03,118.2,128.05,120.3,98.5,147.75
2017-10-03,10.2,20.4,12.2,-10.2,40.8
2017-10-03,20.3,30.45,17.6,0.0,50.75
2017-10-03,20.2,30.3,24.7,0.0,50.5
2017-10-03,59.7,69.65,69.25,39.8,89.55
2017-10-03,50.0,60.0,50.55,30.0,80.0
2017-10-03,185.25,195.0,183.5,165.75,214.5
2017-10-03,30.15,40.2,35.45,10.05,60.3
2017-10-03,89.1,99.0,92.8,69.3,118.8
2017-10-03,147.0,156.8,150.65,127.4,176.4
2017-10-03,250.9,260.55,251.75,231.6,279.85
2017-10-03,307.2,316.8,299.65,288.0,336.0
2017-10-03,10.25,20.5,8.65,-10.25,41.0
2017-10-03,408.5,418.0,386.65,389.5,437.0
2017-10-04,30.3,40.4,29.7,10.1,60.6
2017-10-04,10.25,20.5,9.55,-10.25,41.0
2017-10-04,10.3,20.6,6.6,-10.3,41.2
2017-10-04,118.8,128.7,115.35,99.0,148.5
2017-10-04,60.0,70.0,62.55,40.0,90.0
2017-10-04,79.6,89.55,86.5,59.7,109.45
2017-10-04,147.75,157.6,146.4,128.05,177.3
2017-10-04,20.3,30.45,19.0,0.0,50.75
2017-10-04,345.6,355.2,350.4,326.4,374.4
2017-10-04,50.25,60.3,43.0,30.15,80.4
2017-10-04,252.2,261.9,261.55,232.8,281.3
2017-10-04,308.8,318.45,304.5,289.5,337.75
2017-10-04,234.0,243.75,223.0,214.5,263.25
2017-10-04,20.4,30.6,13.55,0.0,51.0
2017-10-04,186.2,196.0,183.45,166.6,215.6
2017-10-05,20.3,30.45,16.3,0.0,50.75
2017-10-05,30.3,40.4,24.9,10.1,60.6
2017-10-05,10.25,20.5,7.7,-10.25,41.0
2017-10-05,108.9,118.8,103.2,89.1,138.6
2017-10-05,79.6,89.55,76.85,59.7,109.45
2017-10-05,408.5,418.0,417.5,389.5,437.0
2017-10-05,60.0,70.0,54.45,40.0,90.0
2017-10-05,40.2,50.25,36.6,20.1,70.35
2017-10-05,345.6,355.2,327.3,326.4,374.4
2017-10-05,147.75,157.6,131.95,128.05,177.3
2017-10-05,186.2,196.0,166.35,166.6,215.6
2017-10-05,234.0,243.75,204.15,214.5,263.25
2017-10-05,10.2,20.4,11.1,-10.2,40.8
2017-10-05,252.2,261.9,241.85,232.8,281.3
2017-10-06,119.4,129.35,115.1,99.5,149.25
2017-10-06,187.15,197.0,191.8,167.45,216.7
2017-10-06,10.35,20.7,5.5,-10.35,41.4
2017-10-06,10.3,20.6,8.15,-10.3,41.2
2017-10-06,10.25,20.5,12.5,-10.25,41.0
2017-10-06,148.5,158.4,152.9,128.7,178.2
2017-10-06,80.0,90.0,87.8,60.0,110.0
2017-10-06,263.25,273.0,272.9,243.75,292.5
2017-10-06,50.5,60.6,43.0,30.3,80.8
2017-10-06,310.4,320.1,321.3,291.0,339.5
2017-10-06,235.2,245.0,230.5,215.6,264.6
2017-10-06,60.3,70.35,62.8,40.2,90.45
2017-10-06,412.8,422.4,409.5,393.6,441.6
2017-10-06,347.4,357.05,343.5,328.1,376.35
2017-10-06,30.45,40.6,28.8,10.15,60.9
2017-10-06,20.4,30.6,18.95,0.0,51.0
2017-10-09,30.45,40.6,29.95,10.15,60.9
2017-10-09,119.4,129.35,123.85,99.5,149.25
2017-10-09,0.0,10.35,4.7,-20.7,31.05
2017-10-09,10.3,20.6,7.95,-10.3,41.2
2017-10-09,10.25,20.5,12.8,-10.25,41.0
2017-10-09,148.5,158.4,161.2,128.7,178.2
2017-10-09,80.0,90.0,92.95,60.0,110.0
2017-10-09,206.85,216.7,199.8,187.15,236.4
2017-10-09,20.4,30.6,19.7,0.0,51.0
2017-10-09,412.8,422.4,419.8,393.6,441.6
2017-10-09,245.0,254.8,242.15,225.4,274.4
2017-10-09,292.5,302.25,281.8,273.0,321.75
2017-10-09,329.8,339.5,329.3,310.4,358.9
2017-10-09,60.3,70.35,66.35,40.2,90.45
2017-10-09,40.4,50.5,45.7,20.2,70.7
2017-10-09,347.4,357.05,385.0,328.1,376.35
2017-10-10,178.2,188.1,171.1,158.4,207.9
2017-10-10,119.4,129.35,132.05,99.5,149.25
2017-10-10,10.25,20.5,12.25,-10.25,41.0
2017-10-10,30.45,40.6,31.15,10.15,60.9
2017-10-10,50.5,60.6,48.4,30.3,80.8
2017-10-10,0.0,10.4,3.2,-20.8,31.2
2017-10-10,10.3,20.6,7.45,-10.3,41.2
2017-10-10,349.2,358.9,343.15,329.8,378.3
2017-10-10,0.0,10.35,4.4,-20.7,31.05
2017-10-10,110.0,120.0,99.45,90.0,140.0
2017-10-10,312.0,321.75,297.45,292.5,341.25
2017-10-10,206.85,216.7,210.15,187.15,236.4
2017-10-10,254.8,264.6,254.7,235.2,284.2
2017-10-10,20.4,30.6,20.0,0.0,51.0
2017-10-10,70.35,80.4,70.95,50.25,100.5
2017-10-11,10.25,20.5,7.5,-10.25,41.0
2017-10-11,10.2,20.4,12.95,-10.2,40.8
2017-10-11,119.4,129.35,108.95,99.5,149.25
2017-10-11,20.3,30.45,21.3,0.0,50.75
2017-10-11,30.3,40.4,34.85,10.1,60.6
2017-10-11,0.0,10.35,2.9,-20.7,31.05
2017-10-11,0.0,10.3,4.55,-20.6,30.9
2017-10-11,148.5,158.4,144.5,128.7,178.2
2017-10-11,60.3,70.35,53.5,40.2,90.45
2017-10-11,80.0,90.0,78.15,60.0,110.0
2017-10-11,329.8,339.5,309.05,310.4,358.9
2017-10-11,235.2,245.0,222.0,215.6,264.6
2017-10-11,187.15,197.0,184.15,167.45,216.7
2017-10-11,412.8,422.4,407.1,393.6,441.6
2017-10-11,347.4,357.05,424.1,328.1,376.35
