Change in OI,Close,Date,Expiry,High,LTP,Low,No. of contracts,Open,Open Int,Settle Price,Strike Price,Underlying Value,ttm
11625.0,395.35,2019-04-02,2019-05-30,402.95,395.05,361.65,405.0,373.05,253275.0,395.35,11800.0,11713.2,58.0
6825.0,342.75,2019-04-02,2019-05-30,349.95,348.05,314.2,437.0,333.2,164475.0,342.75,11900.0,11713.2,58.0
225.0,517.45,2019-04-02,2019-05-30,524.8,521.7,478.05,97.0,495.0,49650.0,517.45,11600.0,11713.2,58.0
1800.0,452.25,2019-04-02,2019-05-30,456.55,454.4,420.0,129.0,436.4,47475.0,452.25,11700.0,11713.2,58.0
6675.0,582.4,2019-04-02,2019-05-30,613.85,586.0,545.0,393.0,613.85,168825.0,582.4,11500.0,11713.2,58.0
75.0,505.15,2019-04-02,2019-06-27,505.15,505.15,487.2,6.0,503.0,409350.0,505.15,11700.0,11713.2,86.0
-2250.0,645.7,2019-04-02,2019-06-27,653.35,653.35,602.95,255.0,615.0,390075.0,645.7,11500.0,11713.2,86.0
-3000.0,1730.0,2019-04-02,2020-12-31,1730.0,1730.0,1725.0,40.0,1725.0,2475.0,1730.0,11500.0,11713.2,639.0
1650.0,2205.0,2019-04-02,2021-06-24,2205.0,2205.0,2205.0,22.0,2205.0,1650.0,2205.0,11800.0,11713.2,814.0
375.0,2399.0,2019-04-02,2021-06-24,2410.0,2399.0,2399.0,5.0,2410.0,24750.0,2399.0,11500.0,11713.2,814.0
3675.0,2337.45,2019-04-02,2021-06-24,2340.0,2334.5,2334.5,49.0,2340.0,3675.0,2337.45,11600.0,11713.2,814.0
5175.0,2275.0,2019-04-02,2021-06-24,2350.0,2275.0,2265.0,69.0,2275.0,5175.0,2275.0,11700.0,11713.2,814.0
225.0,1990.0,2019-04-02,2020-12-31,1990.0,1990.0,1990.0,3.0,1990.0,7350.0,1990.0,11600.0,11713.2,639.0
-375.0,765.0,2019-04-02,2019-12-26,765.0,765.0,765.0,5.0,765.0,2850.0,765.0,11700.0,11713.2,268.0
-75.0,970.0,2019-04-02,2019-12-26,972.6,970.0,935.0,7.0,935.0,50625.0,970.0,11500.0,11713.2,268.0
300.0,446.0,2019-04-02,2019-06-27,450.0,446.0,446.0,4.0,450.0,375.0,446.0,11800.0,11713.2,86.0
825.0,192.6,2019-04-02,2019-04-11,227.3,192.6,187.85,27.0,204.0,3450.0,192.6,11550.0,11713.2,9.0
15300.0,184.35,2019-04-02,2019-04-11,193.0,186.4,154.05,1956.0,171.95,36150.0,184.35,11600.0,11713.2,9.0
2550.0,153.2,2019-04-02,2019-04-11,160.0,157.0,122.45,501.0,148.0,7500.0,153.2,11650.0,11713.2,9.0
89475.0,40.25,2019-04-02,2019-04-11,43.95,42.5,31.5,5957.0,37.85,200100.0,40.25,11900.0,11713.2,9.0
-52350.0,220.9,2019-04-02,2019-04-04,233.65,225.25,165.05,13698.0,225.5,263700.0,220.9,11500.0,11713.2,2.0
-7200.0,172.6,2019-04-02,2019-04-04,188.15,181.0,125.0,1139.0,156.6,48000.0,172.6,11550.0,11713.2,2.0
-78300.0,131.45,2019-04-02,2019-04-04,146.0,136.0,92.95,81779.0,128.7,317175.0,131.45,11600.0,11713.2,2.0
-5025.0,96.25,2019-04-02,2019-04-04,107.6,102.0,64.25,37850.0,84.6,146850.0,96.25,11650.0,11713.2,2.0
-311850.0,64.35,2019-04-02,2019-04-04,73.9,68.5,41.25,336256.0,63.9,1096650.0,64.35,11700.0,11713.2,2.0
55500.0,39.7,2019-04-02,2019-04-04,46.45,43.0,23.55,115788.0,39.8,614850.0,39.7,11750.0,11713.2,2.0
263100.0,21.65,2019-04-02,2019-04-04,26.45,24.0,12.45,221050.0,22.75,1517475.0,21.65,11800.0,11713.2,2.0
285075.0,9.4,2019-04-02,2019-04-04,11.9,10.85,5.6,60110.0,11.45,589950.0,9.4,11850.0,11713.2,2.0
420525.0,3.85,2019-04-02,2019-04-04,7.7,4.7,2.4,116509.0,7.7,1539825.0,3.85,11900.0,11713.2,2.0
34650.0,123.65,2019-04-02,2019-04-11,128.6,126.0,100.45,7635.0,120.0,110775.0,123.65,11700.0,11713.2,9.0
16575.0,99.15,2019-04-02,2019-04-11,105.45,101.0,62.0,1623.0,85.05,31500.0,99.15,11750.0,11713.2,9.0
56925.0,75.65,2019-04-02,2019-04-11,80.0,78.3,58.85,10597.0,62.1,198150.0,75.65,11800.0,11713.2,9.0
82650.0,152.65,2019-04-02,2019-04-25,158.8,157.3,128.6,30971.0,150.95,1518900.0,152.65,11800.0,11713.2,23.0
-46425.0,103.15,2019-04-02,2019-04-25,109.85,108.35,86.95,25935.0,100.9,854250.0,103.15,11900.0,11713.2,23.0
-26475.0,275.7,2019-04-02,2019-04-25,285.75,281.0,242.55,8495.0,262.8,1032300.0,275.7,11600.0,11713.2,23.0
-3675.0,246.1,2019-04-02,2019-04-25,250.0,247.7,210.15,790.0,243.2,23100.0,246.1,11650.0,11713.2,23.0
51075.0,209.95,2019-04-02,2019-04-25,218.0,215.45,180.05,28622.0,207.65,928725.0,209.95,11700.0,11713.2,23.0
8700.0,181.5,2019-04-02,2019-04-25,187.75,185.9,155.3,1500.0,174.05,44025.0,181.5,11750.0,11713.2,23.0
29775.0,344.15,2019-04-02,2019-04-25,360.45,354.75,309.4,3614.0,338.2,681225.0,344.15,11500.0,11713.2,23.0
4200.0,128.45,2019-04-02,2019-04-25,133.0,132.0,107.5,1463.0,124.7,24975.0,128.45,11850.0,11713.2,23.0
-750.0,317.5,2019-04-02,2019-04-25,322.4,321.6,286.4,53.0,290.25,19275.0,317.5,11550.0,11713.2,23.0
2100.0,263.05,2019-04-02,2019-04-11,272.0,264.95,216.8,154.0,236.0,6900.0,263.05,11500.0,11713.2,9.0
