Change in OI,Close,Date,Expiry,High,LTP,Low,No. of contracts,Open,Open Int,Settle Price,Strike Price,Underlying Value,ttm
11625.0,395.35,2019-04-02,2019-05-30,402.95,395.05,361.65,405.0,373.05,253275.0,395.35,11800.0,11713.2,58.0
6825.0,342.75,2019-04-02,2019-05-30,349.95,348.05,314.2,437.0,333.2,164475.0,342.75,11900.0,11713.2,58.0
225.0,517.45,2019-04-02,2019-05-30,524.8,521.7,478.05,97.0,495.0,49650.0,517.45,11600.0,11713.2,58.0
1800.0,452.25,2019-04-02,2019-05-30,456.55,454.4,420.0,129.0,436.4,47475.0,452.25,11700.0,11713.2,58.0
6675.0,582.4,2019-04-02,2019-05-30,613.85,586.0,545.0,393.0,613.85,168825.0,582.4,11500.0,11713.2,58.0
675.0,725.0,2019-04-02,2019-05-30,725.0,725.0,676.5,12.0,700.0,14625.0,725.0,11300.0,11713.2,58.0
3675.0,652.85,2019-04-02,2019-05-30,660.0,655.0,610.05,59.0,623.65,18975.0,652.85,11400.0,11713.2,58.0
12225.0,298.3,2019-04-02,2019-05-30,305.55,299.95,270.45,1519.0,282.2,378600.0,298.3,12000.0,11713.2,58.0
15150.0,345.0,2019-04-02,2019-06-27,350.2,350.0,318.0,426.0,334.15,177150.0,345.0,12000.0,11713.2,86.0
3225.0,254.7,2019-04-02,2019-05-30,256.7,255.0,228.75,196.0,238.5,35250.0,254.7,12100.0,11713.2,58.0
-1425.0,455.0,2019-04-02,2019-05-02,455.0,455.0,454.95,19.0,455.0,75.0,455.0,11400.0,11713.2,30.0
75.0,505.15,2019-04-02,2019-06-27,505.15,505.15,487.2,6.0,503.0,409350.0,505.15,11700.0,11713.2,86.0
-2250.0,645.7,2019-04-02,2019-06-27,653.35,653.35,602.95,255.0,615.0,390075.0,645.7,11500.0,11713.2,86.0
-3000.0,1730.0,2019-04-02,2020-12-31,1730.0,1730.0,1725.0,40.0,1725.0,2475.0,1730.0,11500.0,11713.2,639.0
150.0,2015.0,2019-04-02,2021-06-24,2015.0,2015.0,2015.0,2.0,2015.0,150.0,2015.0,12100.0,11713.2,814.0
1650.0,2205.0,2019-04-02,2021-06-24,2205.0,2205.0,2205.0,22.0,2205.0,1650.0,2205.0,11800.0,11713.2,814.0
75.0,2075.0,2019-04-02,2021-06-24,2075.0,2075.0,2075.0,1.0,2075.0,75.0,2075.0,12000.0,11713.2,814.0
375.0,2399.0,2019-04-02,2021-06-24,2410.0,2399.0,2399.0,5.0,2410.0,24750.0,2399.0,11500.0,11713.2,814.0
3675.0,2337.45,2019-04-02,2021-06-24,2340.0,2334.5,2334.5,49.0,2340.0,3675.0,2337.45,11600.0,11713.2,814.0
5175.0,2275.0,2019-04-02,2021-06-24,2350.0,2275.0,2265.0,69.0,2275.0,5175.0,2275.0,11700.0,11713.2,814.0
75.0,2480.0,2019-04-02,2021-06-24,2480.0,2480.0,2480.0,1.0,2480.0,75.0,2480.0,11400.0,11713.2,814.0
225.0,1990.0,2019-04-02,2020-12-31,1990.0,1990.0,1990.0,3.0,1990.0,7350.0,1990.0,11600.0,11713.2,639.0
-375.0,765.0,2019-04-02,2019-12-26,765.0,765.0,765.0,5.0,765.0,2850.0,765.0,11700.0,11713.2,268.0
-75.0,970.0,2019-04-02,2019-12-26,972.6,970.0,935.0,7.0,935.0,50625.0,970.0,11500.0,11713.2,268.0
600.0,430.0,2019-04-02,2019-09-26,435.0,430.0,425.0,8.0,425.0,825.0,430.0,12000.0,11713.2,177.0
600.0,619.0,2019-04-02,2019-12-26,649.25,619.0,610.6,114.0,610.6,122325.0,619.0,12000.0,11713.2,268.0
300.0,446.0,2019-04-02,2019-06-27,450.0,446.0,446.0,4.0,450.0,375.0,446.0,11800.0,11713.2,86.0
75.0,539.9,2019-04-02,2019-04-25,539.9,539.9,539.9,1.0,539.9,1200.0,539.9,11250.0,11713.2,23.0
-75.0,451.0,2019-04-02,2019-04-04,451.0,451.0,451.0,1.0,451.0,1575.0,451.0,11250.0,11713.2,2.0
-3600.0,410.35,2019-04-02,2019-04-04,423.0,418.5,350.8,638.0,380.2,115500.0,410.35,11300.0,11713.2,2.0
-1125.0,324.8,2019-04-02,2019-04-04,324.8,324.8,301.0,15.0,320.0,5775.0,324.8,11350.0,11713.2,2.0
-8925.0,313.45,2019-04-02,2019-04-04,327.45,322.6,254.95,1167.0,273.45,73875.0,313.45,11400.0,11713.2,2.0
-5700.0,271.0,2019-04-02,2019-04-04,275.75,275.0,210.8,245.0,225.05,14925.0,271.0,11450.0,11713.2,2.0
1275.0,26.05,2019-04-02,2019-04-11,28.7,24.05,24.05,19.0,28.0,1275.0,26.05,11950.0,11713.2,9.0
50475.0,21.5,2019-04-02,2019-04-11,31.5,23.7,16.4,5725.0,24.75,134250.0,21.5,12000.0,11713.2,9.0
1125.0,17.0,2019-04-02,2019-04-11,17.0,17.0,11.5,15.0,11.5,1125.0,17.0,12050.0,11713.2,9.0
4275.0,10.5,2019-04-02,2019-04-11,19.9,9.6,7.15,411.0,19.9,10425.0,10.5,12100.0,11713.2,9.0
375.0,4.15,2019-04-02,2019-04-11,14.95,4.1,4.05,6.0,14.95,600.0,4.15,12150.0,11713.2,9.0
825.0,192.6,2019-04-02,2019-04-11,227.3,192.6,187.85,27.0,204.0,3450.0,192.6,11550.0,11713.2,9.0
15300.0,184.35,2019-04-02,2019-04-11,193.0,186.4,154.05,1956.0,171.95,36150.0,184.35,11600.0,11713.2,9.0
2550.0,153.2,2019-04-02,2019-04-11,160.0,157.0,122.45,501.0,148.0,7500.0,153.2,11650.0,11713.2,9.0
89475.0,40.25,2019-04-02,2019-04-11,43.95,42.5,31.5,5957.0,37.85,200100.0,40.25,11900.0,11713.2,9.0
