Change in OI,Close,Date,Expiry,High,Low,Open,Open Int,Strike Price,Underlying Value,index,ttm
100.0,768.4,2015-01-01,2015-01-29,780.0,736.0,739.5,2300.0,18300.0,18750.45,3.0,28.0
-25.0,850.0,2015-01-01,2015-01-29,850.0,813.3,813.35,1800.0,18200.0,18750.45,4.0,28.0
-50.0,910.0,2015-01-01,2015-01-29,915.15,852.65,852.65,675.0,18100.0,18750.45,5.0,28.0
-50.0,566.55,2015-01-01,2015-01-29,587.0,500.0,540.5,13550.0,18600.0,18750.45,6.0,28.0
-2875.0,633.15,2015-01-01,2015-01-29,659.6,550.0,600.0,165275.0,18500.0,18750.45,7.0,28.0
25.0,684.0,2015-01-01,2015-01-29,690.55,634.55,667.25,3300.0,18400.0,18750.45,8.0,28.0
39525.0,345.65,2015-01-01,2015-01-29,358.95,292.85,344.0,431525.0,19000.0,18750.45,9.0,28.0
2825.0,393.7,2015-01-01,2015-01-29,408.65,337.05,400.5,29950.0,18900.0,18750.45,10.0,28.0
9100.0,445.15,2015-01-01,2015-01-29,465.5,389.7,410.9,42500.0,18800.0,18750.45,11.0,28.0
-900.0,507.7,2015-01-01,2015-01-29,525.8,440.0,461.2,43675.0,18700.0,18750.45,12.0,28.0
275.0,221.3,2015-01-01,2015-01-29,231.15,182.45,182.45,26925.0,19300.0,18750.45,13.0,28.0
-150.0,256.9,2015-01-01,2015-01-29,270.0,218.0,222.65,20850.0,19200.0,18750.45,14.0,28.0
125.0,575.0,2015-01-01,2015-03-26,575.0,499.9,499.9,125.0,19500.0,18750.45,16.0,84.0
2550.0,300.95,2015-01-01,2015-01-29,312.7,251.0,290.0,19475.0,19100.0,18750.45,17.0,28.0
51125.0,160.35,2015-01-01,2015-01-29,168.0,131.0,145.9,351050.0,19500.0,18750.45,18.0,28.0
2675.0,189.05,2015-01-01,2015-01-29,195.0,153.5,160.15,12500.0,19400.0,18750.45,23.0,28.0
50.0,334.65,2015-01-01,2015-02-26,350.0,334.65,350.0,700.0,19500.0,18750.45,32.0,56.0
25.0,610.0,2015-01-01,2015-02-26,610.0,610.0,610.0,50.0,19000.0,18750.45,33.0,56.0
75.0,880.45,2015-01-01,2015-02-26,880.5,880.45,880.5,75.0,18500.0,18750.45,34.0,56.0
25.0,750.0,2015-01-01,2015-02-26,750.0,750.0,750.0,50.0,18700.0,18750.45,35.0,56.0
-75.0,1054.4,2015-01-02,2015-02-26,1054.4,1054.4,1054.4,0.0,18500.0,19057.8,36.0,55.0
1875.0,401.7,2015-01-02,2015-02-26,420.0,400.0,420.0,1875.0,19600.0,19057.8,38.0,55.0
175.0,472.35,2015-01-02,2015-02-26,495.0,417.1,417.1,875.0,19500.0,19057.8,39.0,55.0
25.0,337.85,2015-01-02,2015-02-26,337.85,337.85,337.85,25.0,19700.0,19057.8,40.0,55.0
25.0,600.05,2015-01-02,2015-02-26,650.0,600.05,650.0,75.0,19000.0,19057.8,41.0,55.0
225.0,755.0,2015-01-02,2015-03-26,756.65,626.65,626.65,350.0,19500.0,19057.8,43.0,83.0
0.0,1040.0,2015-01-02,2015-01-29,1052.4,823.7,823.7,2300.0,18300.0,19057.8,46.0,27.0
-1150.0,781.8,2015-01-02,2015-01-29,829.95,600.0,600.0,12400.0,18600.0,19057.8,49.0,27.0
5225.0,841.4,2015-01-02,2015-01-29,899.0,654.0,654.95,170500.0,18500.0,19057.8,50.0,27.0
-125.0,920.6,2015-01-02,2015-01-29,985.3,775.0,775.0,3175.0,18400.0,19057.8,51.0,27.0
-11775.0,561.2,2015-01-02,2015-01-29,605.0,410.45,423.0,18175.0,18900.0,19057.8,52.0,27.0
-10125.0,635.65,2015-01-02,2015-01-29,678.05,460.0,465.0,32375.0,18800.0,19057.8,53.0,27.0
-9575.0,689.45,2015-01-02,2015-01-29,747.75,525.0,526.75,34100.0,18700.0,19057.8,54.0,27.0
5175.0,338.1,2015-01-02,2015-01-29,370.0,230.15,230.15,32100.0,19300.0,19057.8,55.0,27.0
0.0,444.55,2015-01-02,2015-01-29,480.0,312.0,316.0,19475.0,19100.0,19057.8,56.0,27.0
-41275.0,498.3,2015-01-02,2015-01-29,538.0,349.6,354.25,390250.0,19000.0,19057.8,57.0,27.0
7000.0,220.75,2015-01-02,2015-01-29,240.9,138.7,138.7,19950.0,19600.0,19057.8,58.0,27.0
59775.0,255.65,2015-01-02,2015-01-29,282.8,164.15,169.15,410825.0,19500.0,19057.8,59.0,27.0
1250.0,181.75,2015-01-02,2015-01-29,201.95,113.85,113.85,27300.0,19700.0,19057.8,67.0,27.0
5300.0,153.05,2015-01-02,2015-01-29,169.95,95.8,100.45,20325.0,19800.0,19057.8,68.0,27.0
6350.0,296.55,2015-01-02,2015-01-29,324.0,177.05,177.05,18850.0,19400.0,19057.8,70.0,27.0
10000.0,390.15,2015-01-02,2015-01-29,421.3,267.75,274.95,30850.0,19200.0,19057.8,72.0,27.0
25.0,684.95,2015-01-05,2015-02-26,695.15,617.65,617.65,100.0,19000.0,19017.4,79.0,52.0
100.0,400.0,2015-01-05,2015-02-26,400.0,400.0,400.0,1975.0,19600.0,19017.4,80.0,52.0
0.0,457.0,2015-01-05,2015-02-26,460.05,457.0,458.0,875.0,19500.0,19017.4,81.0,52.0
200.0,700.0,2015-01-05,2015-03-26,700.0,700.0,700.0,550.0,19500.0,19017.4,83.0,80.0
2500.0,872.2,2015-01-05,2015-03-26,950.0,847.4,847.4,2500.0,19000.0,19017.4,84.0,80.0
2450.0,151.0,2015-01-05,2015-01-29,192.1,145.05,167.5,29750.0,19700.0,19017.4,88.0,24.0
8300.0,296.1,2015-01-05,2015-01-29,359.95,286.7,333.0,40400.0,19300.0,19017.4,92.0,24.0
16375.0,215.6,2015-01-05,2015-01-29,274.3,207.0,270.05,427200.0,19500.0,19017.4,93.0,24.0
25.0,182.7,2015-01-05,2015-01-29,229.25,174.4,200.95,19975.0,19600.0,19017.4,94.0,24.0
100.0,445.55,2015-01-05,2015-01-29,529.0,433.0,505.8,390350.0,19000.0,19017.4,95.0,24.0
3750.0,397.4,2015-01-05,2015-01-29,495.05,381.0,485.0,23225.0,19100.0,19017.4,96.0,24.0
7750.0,340.85,2015-01-05,2015-01-29,415.0,329.45,407.0,38600.0,19200.0,19017.4,97.0,24.0
-8525.0,639.85,2015-01-05,2015-01-29,725.9,627.75,701.0,25575.0,18700.0,19017.4,98.0,24.0
1925.0,251.0,2015-01-05,2015-01-29,311.25,244.85,285.5,20775.0,19400.0,19017.4,99.0,24.0
-1175.0,570.9,2015-01-05,2015-01-29,649.9,550.0,629.0,31200.0,18800.0,19017.4,100.0,24.0
-125.0,509.35,2015-01-05,2015-01-29,590.0,500.0,580.0,18050.0,18900.0,19017.4,107.0,24.0
-10275.0,790.1,2015-01-05,2015-01-29,883.0,770.0,856.25,160225.0,18500.0,19017.4,109.0,24.0
-125.0,875.9,2015-01-05,2015-01-29,950.0,870.45,937.5,3050.0,18400.0,19017.4,111.0,24.0
-1825.0,716.75,2015-01-05,2015-01-29,805.0,700.0,777.35,10575.0,18600.0,19017.4,113.0,24.0
75.0,941.6,2015-01-05,2015-01-29,1050.0,935.3,965.65,2375.0,18300.0,19017.4,115.0,24.0
500.0,440.6,2015-01-06,2015-02-26,550.0,416.7,550.0,600.0,19000.0,18430.75,119.0,51.0
100.0,780.85,2015-01-06,2015-03-26,780.85,747.3,776.7,2600.0,19000.0,18430.75,124.0,79.0
6200.0,182.65,2015-01-06,2015-01-29,306.7,169.65,299.65,29425.0,19100.0,18430.75,135.0,23.0
9650.0,336.85,2015-01-06,2015-01-29,525.0,317.4,525.0,35225.0,18700.0,18430.75,138.0,23.0
14700.0,292.7,2015-01-06,2015-01-29,468.95,273.3,463.1,45900.0,18800.0,18430.75,140.0,23.0
13475.0,250.9,2015-01-06,2015-01-29,407.55,235.0,406.95,31525.0,18900.0,18430.75,148.0,23.0
4250.0,487.15,2015-01-06,2015-01-29,680.0,480.0,676.55,7300.0,18400.0,18430.75,149.0,23.0
1650.0,1145.0,2015-01-06,2015-02-26,1165.0,1135.0,1140.0,1750.0,18000.0,18430.75,150.0,51.0
60100.0,212.85,2015-01-06,2015-01-29,362.8,198.05,353.75,450450.0,19000.0,18430.75,153.0,23.0
79450.0,433.55,2015-01-06,2015-01-29,680.0,410.05,680.0,239675.0,18500.0,18430.75,154.0,23.0
0.0,680.5,2015-01-06,2015-01-29,685.0,676.0,676.0,625.0,18100.0,18430.75,155.0,23.0
25.0,600.0,2015-01-06,2015-01-29,840.0,600.0,825.1,1750.0,18200.0,18430.75,156.0,23.0
25.0,556.7,2015-01-06,2015-01-29,790.4,550.0,770.0,2400.0,18300.0,18430.75,157.0,23.0
-3675.0,743.1,2015-01-06,2015-01-29,1040.0,726.55,1025.0,43550.0,18000.0,18430.75,159.0,23.0
55100.0,381.55,2015-01-06,2015-01-29,584.85,360.0,540.0,65675.0,18600.0,18430.75,161.0,23.0
50.0,750.0,2015-01-07,2015-01-29,750.0,730.0,730.0,75.0,17900.0,18304.25,177.0,22.0
275.0,800.0,2015-01-07,2015-01-29,897.0,800.0,875.0,850.0,17800.0,18304.25,178.0,22.0
50.0,880.0,2015-01-07,2015-01-29,880.0,780.0,780.0,275.0,17700.0,18304.25,179.0,22.0
6400.0,480.9,2015-01-07,2015-01-29,589.95,460.0,515.05,8800.0,18300.0,18304.25,180.0,22.0
3000.0,536.9,2015-01-07,2015-01-29,626.4,510.4,626.4,4750.0,18200.0,18304.25,181.0,22.0
75.0,617.75,2015-01-07,2015-01-29,691.35,599.95,641.15,700.0,18100.0,18304.25,182.0,22.0
5800.0,290.95,2015-01-07,2015-01-29,362.25,265.9,337.0,41025.0,18700.0,18304.25,184.0,22.0
29900.0,381.0,2015-01-07,2015-01-29,467.0,350.3,396.4,269575.0,18500.0,18304.25,185.0,22.0
12300.0,435.95,2015-01-07,2015-01-29,518.0,400.05,480.0,19600.0,18400.0,18304.25,186.0,22.0
